@relation Donnees_Pretraite

@attribute site_name {Rekrute,marocemploi.net,talentspartners.com,www.moncallcenter.ma, Marocannonces.com,Emploi.ma,Anapec}
@attribute ville{casablanca, inezganeaitmelloul, berkane, meknes, marrakech, agadir, eljadida, taroudant, tetouan, zagora, tanger, essaouira, kenitra, rabat, midelt, tinghir, ouarzazate, sidikacem, fes, nouaceur, mohammedia, sale, bouznika, chtoukaaitbaha, errachidia, azilal, benimellal, khouribga, darbouazza, laayoune, brussels, oujda, alhaouz, alhoceima, plusieursvilles, autreville}
@attribute sector {commercial,education,informatique,agriculture,immobilier,accueil,santé,droit,transport,tourisme,comptabilité,industrie,biologie,marketing,restauration,agro,}
@attribute Type_de_contrat {0,1,2,3,4,5,6,7,8}
@attribute Language {français,néerlandais,italien,portugais,anglais,allemand,arabe,tarifit,tamazight}
@attribute Experience_level numeric
@attribute Formation {Informatique,Assistant,Cuisinier,SAV,Enseignement,RH,Commercial,Qualité,Ingénierie,Production,Marketing,Comptabilité,BTP,Surveillance,Logistique, Achat,Import,Bureau,Manager,Santé,Juridique,Mécanicien}
@attribute Salaire numeric
@attribute Travail_a_distance {0,1,2,3}

@data
Anapec,mohammedia,industrie,2,arabe,7,Informatique,4000,0
Anapec,autreville,education,1,arabe,1,Informatique,4000,0
Anapec,mohammedia,industrie,2,arabe,7,Informatique,4000,0
Anapec,tetouan,education,1,anglais,6,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,tetouan,education,1,anglais,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,7,Informatique,4000,0
Anapec,agadir,industrie,2,arabe,6,Informatique,4000,0
Anapec,eljadida,industrie,2,arabe,6,Informatique,4000,0
Anapec,autreville,education,1,arabe,1,Informatique,4000,0
Anapec,autreville,santé,8,tamazight,6,Informatique,4000,0
Anapec,autreville,education,2,arabe,6,Informatique,4000,0
Anapec,autreville,industrie,2,anglais,1,Informatique,4000,0
Anapec,oujda,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,rabat,santé,1,arabe,6,Informatique,4000,0
Anapec,berkane,industrie,2,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,3,Informatique,4000,0
Anapec,fes,santé,8,arabe,6,Informatique,4000,0
Anapec,eljadida,agriculture,1,arabe,2,Informatique,4000,0
Anapec,marrakech,santé,2,arabe,7,Informatique,4000,0
Anapec,eljadida,industrie,8,arabe,7,Informatique,4000,0
Anapec,agadir,industrie,2,arabe,1,Informatique,4000,0
Anapec,autreville,agriculture,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,anglais,1,Informatique,4000,0
Anapec,autreville,education,2,arabe,6,Informatique,4000,0
Anapec,autreville,industrie,2,anglais,1,Informatique,4000,0
Anapec,oujda,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,7,Informatique,4000,0
Anapec,autreville,education,2,arabe,6,Informatique,4000,0
Anapec,autreville,industrie,2,anglais,1,Informatique,4000,0
Anapec,oujda,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,1,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,1,arabe,6,Informatique,4000,0
Anapec,berkane,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,1,Informatique,4000,0
Anapec,marrakech,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,taroudant,industrie,2,arabe,7,Informatique,4000,0
Anapec,taroudant,industrie,2,arabe,7,Informatique,4000,0
Anapec,ouarzazate,industrie,2,arabe,6,Informatique,4000,0
Anapec,ouarzazate,industrie,2,arabe,6,Informatique,4000,0
Anapec,autreville,santé,1,arabe,1,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,1,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,1,arabe,6,Informatique,4000,0
Anapec,berkane,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,1,Informatique,4000,0
Anapec,marrakech,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,1,Informatique,4000,0
Anapec,marrakech,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,2,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,1,Informatique,4000,0
Anapec,casablanca,industrie,2,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,1,arabe,7,Informatique,4000,0
Anapec,marrakech,industrie,1,arabe,6,Informatique,4000,0
Anapec,meknes,education,1,arabe,2,Informatique,4000,0
Anapec,agadir,education,1,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,1,arabe,7,Informatique,4000,0
Anapec,eljadida,santé,8,arabe,7,Informatique,4000,0
Anapec,taroudant,agriculture,8,arabe,6,Informatique,4000,0
Anapec,tetouan,industrie,1,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,zagora,industrie,2,arabe,7,Informatique,4000,0
Anapec,tetouan,industrie,1,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,anglais,1,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,1,Informatique,4000,0
Anapec,casablanca,industrie,2,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,1,arabe,7,Informatique,4000,0
Anapec,marrakech,industrie,1,arabe,6,Informatique,4000,0
Anapec,meknes,education,1,arabe,2,Informatique,4000,0
Anapec,agadir,education,1,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,1,arabe,7,Informatique,4000,0
Anapec,eljadida,santé,8,arabe,7,Informatique,4000,0
Anapec,taroudant,agriculture,8,arabe,6,Informatique,4000,0
Anapec,tetouan,industrie,1,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,1,arabe,7,Informatique,4000,0
Anapec,eljadida,santé,8,arabe,7,Informatique,4000,0
Anapec,taroudant,agriculture,8,arabe,6,Informatique,4000,0
Anapec,tetouan,industrie,1,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,kenitra,santé,2,arabe,6,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
